stationid,surveyyear,sampledate,stationdepth,labname,labsampleid
B08-7098,2008,2008/07/10 07:00:00+00,204,NULL,NULL
B08-7752,2008,2008/07/26 07:00:00+00,51,NULL,NULL
B08-6229,2008,2008/07/17 07:00:00+00,1,NULL,NULL
B08-6130,2008,2008/08/20 07:00:00+00,12,NULL,NULL
B08-7405,2008,2008/09/11 07:00:00+00,94,NULL,NULL
B08-7082,2008,2008/07/16 07:00:00+00,1023,NULL,NULL
B08-6120,2008,2008/08/18 07:00:00+00,8,NULL,NULL
B08-6447,2008,2008/09/09 07:00:00+00,12,NULL,NULL
B08-6428,2008,2008/07/24 07:00:00+00,11,NULL,NULL
B08-7008,2008,2008/07/08 07:00:00+00,181,NULL,NULL
B08-7549,2008,2008/09/09 07:00:00+00,91,NULL,NULL
B08-7556,2008,2008/09/09 07:00:00+00,91,NULL,NULL
B08-6419,2008,2008/07/31 07:00:00+00,15,NULL,NULL
B08-7287,2008,2008/07/24 07:00:00+00,42,NULL,NULL
B08-7410,2008,2008/07/08 07:00:00+00,80,NULL,NULL
B08-7475,2008,2008/09/11 07:00:00+00,16,NULL,NULL
B08-7588,2008,2008/09/09 07:00:00+00,100,NULL,NULL
B08-6432,2008,2008/09/09 07:00:00+00,17,NULL,NULL
B08-7269,2008,2008/07/14 07:00:00+00,38,NULL,NULL
B08-6216,2008,2008/08/05 07:00:00+00,3,NULL,NULL
B08-7032,2008,2008/07/08 07:00:00+00,135,NULL,NULL
B08-7741,2008,2008/07/26 07:00:00+00,30,NULL,NULL
B08-7175,2008,2008/09/18 07:00:00+00,789,NULL,NULL
B08-7021,2008,2008/07/03 07:00:00+00,20,NULL,NULL
B08-6232,2008,2008/07/17 07:00:00+00,0,NULL,NULL
B08-7167,2008,2008/07/15 07:00:00+00,78,NULL,NULL
B08-6549,2008,2008/09/03 07:00:00+00,4,NULL,NULL
B08-7024,2008,2008/07/03 07:00:00+00,10,NULL,NULL
B08-6129,2008,2008/08/21 07:00:00+00,12,NULL,NULL
B08-7528,2008,2008/08/12 07:00:00+00,203,NULL,NULL
B08-7637,2008,2008/07/27 07:00:00+00,420,NULL,NULL
B08-7173,2008,2008/07/15 07:00:00+00,672,NULL,NULL
B08-6174,2008,2008/08/08 07:00:00+00,6,NULL,NULL
B08-6437,2008,2008/09/09 07:00:00+00,14,NULL,NULL
B08-7633,2008,2008/07/27 07:00:00+00,536,NULL,NULL
B08-7555,2008,2008/09/08 07:00:00+00,135,NULL,NULL
B08-7403,2008,2008/07/08 07:00:00+00,95,NULL,NULL
B08-7320,2008,2008/07/24 07:00:00+00,248,NULL,NULL
B08-7717,2008,2008/07/24 07:00:00+00,10,NULL,NULL
B08-6451,2008,2008/09/25 07:00:00+00,0,NULL,NULL
B08-7462,2008,2008/09/11 07:00:00+00,79,NULL,NULL
B08-7620,2008,2008/07/28 07:00:00+00,309,NULL,NULL
B08-7520,2008,2008/09/09 07:00:00+00,82,NULL,NULL
B08-6239,2008,2008/07/15 07:00:00+00,0,NULL,NULL
B08-6136,2008,2008/08/08 07:00:00+00,14,NULL,NULL
B08-7104,2008,2008/07/15 07:00:00+00,566,NULL,NULL
B08-7325,2008,2008/07/23 07:00:00+00,12,NULL,NULL
B08-7293,2008,2008/07/14 07:00:00+00,14,NULL,NULL
B08-7534,2008,2008/09/10 07:00:00+00,19,NULL,NULL
B08-7413,2008,2008/07/14 07:00:00+00,885,NULL,NULL
B08-7305,2008,2008/07/23 07:00:00+00,29,NULL,NULL
B08-7493,2008,2008/09/10 07:00:00+00,71,NULL,NULL
B08-6449,2008,2008/07/29 07:00:00+00,10,NULL,NULL
B08-6159,2008,2008/08/06 07:00:00+00,3,NULL,NULL
B08-6446,2008,2008/07/31 07:00:00+00,18,NULL,NULL
B08-7097,2008,2008/07/16 07:00:00+00,887,NULL,NULL
B08-7716,2008,2008/07/26 07:00:00+00,434,NULL,NULL
B08-7611,2008,2008/07/28 07:00:00+00,367,NULL,NULL
B08-7572,2008,2008/08/26 07:00:00+00,14,NULL,NULL
B08-7438,2008,2008/09/11 07:00:00+00,69,NULL,NULL
B08-7476,2008,2008/09/11 07:00:00+00,101,NULL,NULL
B08-6355,2008,2008/08/12 07:00:00+00,1,NULL,NULL
B08-7426,2008,2008/07/08 07:00:00+00,82,NULL,NULL
B08-6659,2008,2008/08/22 07:00:00+00,6,NULL,NULL
B08-7753,2008,2008/07/26 07:00:00+00,12,NULL,NULL
B08-7645,2008,2008/07/25 07:00:00+00,153,NULL,NULL
B08-7517,2008,2008/07/09 07:00:00+00,24,NULL,NULL
B08-7688,2008,2008/07/24 07:00:00+00,43,NULL,NULL
B08-7236,2008,2008/07/30 07:00:00+00,348,NULL,NULL
B08-7415,2008,2008/07/08 07:00:00+00,69,NULL,NULL
B08-6252,2008,2008/07/29 07:00:00+00,1,NULL,NULL
B08-7241,2008,2008/07/30 07:00:00+00,297,NULL,NULL
B08-6113,2008,2008/08/18 07:00:00+00,10,NULL,NULL
B08-7629,2008,2008/07/24 07:00:00+00,26,NULL,NULL
B08-7651,2008,2008/07/25 07:00:00+00,147,NULL,NULL
B08-6444,2008,2008/09/09 07:00:00+00,11,NULL,NULL
B08-7697,2008,2008/07/27 07:00:00+00,427,NULL,NULL
B08-7298,2008,2008/07/23 07:00:00+00,43,NULL,NULL
B08-7557,2008,2008/08/26 07:00:00+00,17,NULL,NULL
B08-6562,2008,2008/09/10 07:00:00+00,2,NULL,NULL
B08-6230,2008,2008/07/17 07:00:00+00,0,NULL,NULL
B08-7210,2008,2008/07/30 07:00:00+00,467,NULL,NULL
B08-6500,2008,2008/07/14 07:00:00+00,3,NULL,NULL
B08-6335,2008,2008/07/14 07:00:00+00,5,NULL,NULL
B08-7093,2008,2008/07/10 07:00:00+00,85,NULL,NULL
B08-6046,2008,2008/08/22 07:00:00+00,11,NULL,NULL
B08-7313,2008,2008/07/24 07:00:00+00,23,City of San Diego,P448294
B08-7405,2008,2008/09/11 07:00:00+00,94,City of San Diego,P448300
B08-6049,2008,2008/08/21 07:00:00+00,10,NULL,NULL
B08-6264,2008,2008/07/29 07:00:00+00,0,NULL,NULL
B08-7280,2008,2008/07/15 07:00:00+00,750,City of San Diego,P448287
B08-6448,2008,2008/09/09 07:00:00+00,13,NULL,NULL
