stationid,surveyyear,sampledate,stationdepth,labname,labsampleid
B13-9354,2013,2013/07/29 07:00:00+00,240,City of Los Angeles Environmental Monitoring Division,HT186269-11
B13-9372,2013,2013/08/21 07:00:00+00,15,City of Los Angeles Environmental Monitoring Division,HT186269-25
B13-9395,2013,2013/08/20 07:00:00+00,127,City of Los Angeles Environmental Monitoring Division,HT186269-29
B13-9421,2013,2013/08/20 07:00:00+00,25,City of Los Angeles Environmental Monitoring Division,HT186269-32
B13-8407,2013,2013/10/07 07:00:00+00,5,City of Los Angeles Environmental Monitoring Division,HT186702-1
B13-8409,2013,2013/10/07 07:00:00+00,5,City of Los Angeles Environmental Monitoring Division,HT186702-2
B13-8413,2013,2013/10/07 07:00:00+00,4,City of Los Angeles Environmental Monitoring Division,HT186702-3
B13-8417,2013,2013/10/07 07:00:00+00,2,City of Los Angeles Environmental Monitoring Division,HT186702-4
B13-8425,2013,2013/08/21 07:00:00+00,3,City of Los Angeles Environmental Monitoring Division,HT186269-19
B13-9314,2013,2013/09/18 07:00:00+00,167,City of Los Angeles Environmental Monitoring Division,HT186269-22
B13-9339,2013,2013/09/18 07:00:00+00,42,City of Los Angeles Environmental Monitoring Division,HT186269-23
B13-9346,2013,2013/09/18 07:00:00+00,15,City of Los Angeles Environmental Monitoring Division,HT186269-24
B13-9375,2013,2013/08/21 07:00:00+00,137,City of Los Angeles Environmental Monitoring Division,HT186269-26
B13-9377,2013,2013/08/21 07:00:00+00,17,City of Los Angeles Environmental Monitoring Division,HT186269-27
B13-9383,2013,2013/08/21 07:00:00+00,15,City of Los Angeles Environmental Monitoring Division,HT186269-28
B13-9397,2013,2013/08/20 07:00:00+00,26,City of Los Angeles Environmental Monitoring Division,HT186269-30
B13-9409,2013,2013/08/20 07:00:00+00,17,City of Los Angeles Environmental Monitoring Division,HT186269-31
B13-9447,2013,2013/09/08 07:00:00+00,23,City of Los Angeles Environmental Monitoring Division,HT186269-34
B13-9259,2013,2013/08/14 07:00:00+00,678,City of Los Angeles Environmental Monitoring Division,HT187404-1
B13-9263,2013,2013/07/26 07:00:00+00,80,City of Los Angeles Environmental Monitoring Division,HT187404-2
B13-9266,2013,2013/07/26 07:00:00+00,60,City of Los Angeles Environmental Monitoring Division,HT187404-3
B13-9267,2013,2013/07/26 07:00:00+00,74,City of Los Angeles Environmental Monitoring Division,HT187404-4
B13-9277,2013,2013/07/25 07:00:00+00,176,City of Los Angeles Environmental Monitoring Division,HT187404-5
B13-9281,2013,2013/08/13 07:00:00+00,448,City of Los Angeles Environmental Monitoring Division,HT187404-6
B13-9285,2013,2013/07/25 07:00:00+00,100,City of Los Angeles Environmental Monitoring Division,HT187404-7
B13-9292,2013,2013/07/25 07:00:00+00,48,City of Los Angeles Environmental Monitoring Division,HT187404-9
B13-9303,2013,2013/07/26 07:00:00+00,16,City of Los Angeles Environmental Monitoring Division,HT187404-10
B13-9305,2013,2013/08/12 07:00:00+00,564,City of Los Angeles Environmental Monitoring Division,HT187404-11
B13-9316,2013,2013/08/14 07:00:00+00,62,City of Los Angeles Environmental Monitoring Division,HT187404-12
B13-9319,2013,2013/07/25 07:00:00+00,8,City of Los Angeles Environmental Monitoring Division,HT187404-13
B13-9326,2013,2013/07/23 07:00:00+00,39,City of Los Angeles Environmental Monitoring Division,HT187404-14
B13-9331,2013,2013/07/23 07:00:00+00,41,City of Los Angeles Environmental Monitoring Division,HT187404-15
B13-9336,2013,2013/07/23 07:00:00+00,23,City of Los Angeles Environmental Monitoring Division,HT187404-16
B13-9341,2013,2013/07/23 07:00:00+00,23,City of Los Angeles Environmental Monitoring Division,HT187404-17
B13-8426,2013,2013/09/24 07:00:00+00,4,City of Los Angeles Environmental Monitoring Division,HT191133-1
B13-8430,2013,2013/09/24 07:00:00+00,2,City of Los Angeles Environmental Monitoring Division,HT191133-2
B13-9323,2013,2013/09/24 07:00:00+00,39,City of Los Angeles Environmental Monitoring Division,HT191133-3
B13-9434,2013,2013/09/23 07:00:00+00,18,City of Los Angeles Environmental Monitoring Division,HT191133-4
B13-8390,2013,2013/09/09 07:00:00+00,9,City of San Diego,NULL
B13-8269,2013,2013/08/01 07:00:00+00,3,City of San Diego,NULL
B13-8064,2013,2013/08/12 07:00:00+00,12,City of San Diego,NULL
B13-9221,2013,2013/07/10 07:00:00+00,27,City of San Diego,NULL
B13-8286,2013,2013/07/26 07:00:00+00,6,City of San Diego,NULL
B13-9076,2013,2013/07/17 07:00:00+00,533,City of San Diego,NULL
B13-9092,2013,2013/07/25 07:00:00+00,173,City of San Diego,NULL
B13-9210,2013,2013/08/28 07:00:00+00,700,City of San Diego,NULL
B13-9346,2013,2013/09/18 07:00:00+00,15,City of San Diego,NULL
B13-8014,2013,2013/08/26 07:00:00+00,3,City of San Diego,NULL
B13-8265,2013,2013/08/05 07:00:00+00,4,City of San Diego,NULL
B13-9161,2013,2013/07/31 07:00:00+00,50,City of San Diego,NULL
B13-9351,2013,2013/08/20 07:00:00+00,75,City of San Diego,NULL
B13-9251,2013,2013/07/09 07:00:00+00,127,City of San Diego,NULL
B13-8358,2013,2013/07/09 07:00:00+00,10,City of San Diego,NULL
B13-9468,2013,2013/08/07 07:00:00+00,25,City of San Diego,NULL
B13-9339,2013,2013/09/18 07:00:00+00,42,City of San Diego,NULL
B13-9163,2013,2013/07/17 07:00:00+00,432,City of San Diego,NULL
B13-9059,2013,2013/07/17 07:00:00+00,23,City of San Diego,NULL
B13-9033,2013,2013/07/15 07:00:00+00,425,City of San Diego,NULL
B13-9011,2013,2013/07/15 07:00:00+00,183,City of San Diego,NULL
B13-8279,2013,2013/09/20 07:00:00+00,12,City of San Diego,NULL
B13-9295,2013,2013/09/10 07:00:00+00,690,City of San Diego,NULL
B13-9305,2013,2013/08/12 07:00:00+00,564,City of San Diego,NULL
B13-9347,2013,2013/07/29 07:00:00+00,550,City of San Diego,NULL
B13-9186,2013,2013/07/17 07:00:00+00,47,City of San Diego,NULL
B13-9303,2013,2013/07/26 07:00:00+00,16,City of San Diego,NULL
B13-9155,2013,2013/07/31 07:00:00+00,900,City of San Diego,NULL
B13-9085,2013,2013/07/29 07:00:00+00,800,City of San Diego,NULL
B13-8253,2013,2013/08/07 07:00:00+00,1,City of San Diego,NULL
B13-8121,2013,2013/09/09 07:00:00+00,3,City of San Diego,NULL
B13-8108,2013,2013/09/10 07:00:00+00,5,City of San Diego,NULL
B13-8053,2013,2013/09/06 07:00:00+00,5,City of San Diego,NULL
B13-9476,2013,2013/09/09 07:00:00+00,159,City of San Diego,NULL
B13-9424,2013,2013/08/08 07:00:00+00,64,City of San Diego,NULL
B13-9377,2013,2013/08/21 07:00:00+00,17,City of San Diego,NULL
B13-9217,2013,2013/07/10 07:00:00+00,31,City of San Diego,NULL
B13-9193,2013,2013/07/15 07:00:00+00,154,City of San Diego,NULL
B13-9055,2013,2013/07/16 07:00:00+00,275,City of San Diego,NULL
B13-8315,2013,2013/07/09 07:00:00+00,15,City of San Diego,NULL
B13-8163,2013,2013/08/08 07:00:00+00,2,City of San Diego,NULL
B13-8374,2013,2013/07/10 07:00:00+00,18,City of San Diego,NULL
B13-8333,2013,2013/07/13 07:00:00+00,15,City of San Diego,NULL
B13-8073,2013,2013/08/29 07:00:00+00,5,City of San Diego,NULL
B13-9481,2013,2013/09/23 07:00:00+00,23,City of San Diego,NULL
B13-9326,2013,2013/07/23 07:00:00+00,39,City of San Diego,NULL
B13-9290,2013,2013/09/10 07:00:00+00,719,City of San Diego,NULL
B13-9266,2013,2013/07/26 07:00:00+00,60,City of San Diego,NULL
B13-9152,2013,2013/07/31 07:00:00+00,27,City of San Diego,NULL
B13-9137,2013,2013/07/30 07:00:00+00,411,City of San Diego,NULL
B13-9130,2013,2013/07/30 07:00:00+00,62,City of San Diego,NULL
B13-9074,2013,2013/07/17 07:00:00+00,308,City of San Diego,NULL
B13-9314,2013,2013/09/18 07:00:00+00,167,City of San Diego,NULL
B13-8413,2013,2013/10/07 07:00:00+00,4,City of San Diego,NULL
B13-8116,2013,2013/09/10 07:00:00+00,4,City of San Diego,NULL
B13-8028,2013,2013/08/26 07:00:00+00,12,City of San Diego,NULL
B13-8367,2013,2013/07/11 07:00:00+00,3,City of San Diego,NULL
B13-8187,2013,2013/08/02 07:00:00+00,1,Institute for integrated Research,NULL
B13-9331,2013,2013/07/23 07:00:00+00,41,City of San Diego,NULL
B13-9354,2013,2013/07/29 07:00:00+00,240,City of San Diego,NULL
B13-9365,2013,2013/08/21 07:00:00+00,124,City of San Diego,NULL
B13-9372,2013,2013/08/21 07:00:00+00,15,City of San Diego,NULL
B13-9321,2013,2013/09/24 07:00:00+00,44,City of San Diego,NULL
B13-9073,2013,2013/07/17 07:00:00+00,190,City of San Diego,NULL
B13-9041,2013,2013/07/29 07:00:00+00,942,City of San Diego,NULL
B13-8259,2013,2013/08/05 07:00:00+00,4,City of San Diego,NULL
B13-8069,2013,2013/08/12 07:00:00+00,12,City of San Diego,NULL
B13-8043,2013,2013/08/05 07:00:00+00,3,City of San Diego,NULL
B13-8017,2013,2013/08/11 07:00:00+00,4,City of San Diego,NULL
B13-8066,2013,2013/08/12 07:00:00+00,12,City of San Diego,NULL
B13-9030,2013,2013/07/11 07:00:00+00,525,City of San Diego,NULL
B13-9348,2013,2013/07/29 07:00:00+00,400,City of San Diego,NULL
B13-9207,2013,2013/08/29 07:00:00+00,613,City of San Diego,NULL
B13-9179,2013,2013/07/18 07:00:00+00,227,City of San Diego,NULL
B13-8316,2013,2013/07/11 07:00:00+00,27,City of San Diego,NULL
B13-8218,2013,2013/07/30 07:00:00+00,6,City of San Diego,NULL
B13-8123,2013,2013/09/09 07:00:00+00,6,City of San Diego,NULL
B13-8099,2013,2013/08/29 07:00:00+00,10,City of San Diego,NULL
B13-8129,2013,2013/07/31 07:00:00+00,1,City of San Diego,NULL
B13-8298,2013,2013/09/12 07:00:00+00,8,City of San Diego,NULL
B13-8106,2013,2013/09/10 07:00:00+00,6,City of San Diego,NULL
B13-9170,2013,2013/07/15 07:00:00+00,484,City of San Diego,NULL
B13-8310,2013,2013/07/11 07:00:00+00,14,City of San Diego,NULL
B13-9323,2013,2013/09/24 07:00:00+00,39,City of San Diego,NULL
B13-9369,2013,2013/09/13 07:00:00+00,157,City of San Diego,NULL
B13-9229,2013,2013/07/09 07:00:00+00,27,City of San Diego,NULL
B13-9223,2013,2013/07/08 07:00:00+00,470,City of San Diego,NULL
B13-9060,2013,2013/07/29 07:00:00+00,607,City of San Diego,NULL
B13-8401,2013,2013/07/12 07:00:00+00,14,City of San Diego,NULL
B13-8372,2013,2013/08/09 07:00:00+00,12,City of San Diego,NULL
B13-8325,2013,2013/07/17 07:00:00+00,14,City of San Diego,NULL
B13-8306,2013,2013/07/11 07:00:00+00,3,City of San Diego,NULL
B13-8128,2013,2013/09/09 07:00:00+00,5,City of San Diego,NULL
B13-9084,2013,2013/07/17 07:00:00+00,562,City of San Diego,NULL
B13-9456,2013,2013/08/07 07:00:00+00,93,City of San Diego,NULL
B13-9388,2013,2013/09/11 07:00:00+00,363,City of San Diego,NULL
B13-9310,2013,2013/08/12 07:00:00+00,169,City of San Diego,NULL
B13-9219,2013,2013/07/15 07:00:00+00,18,City of San Diego,NULL
B13-8290,2013,2013/09/04 07:00:00+00,18,PHYSIS,NULL
B13-8038,2013,2013/08/26 07:00:00+00,12,City of San Diego,NULL
B13-8077,2013,2013/08/13 07:00:00+00,10,City of San Diego,NULL
B13-8263,2013,2013/08/05 07:00:00+00,5,City of San Diego,NULL
B13-9095,2013,2013/07/23 07:00:00+00,676,City of San Diego,NULL
B13-8093,2013,2013/08/29 07:00:00+00,14,City of San Diego,NULL
B13-9349,2013,2013/07/29 07:00:00+00,562,City of San Diego,NULL
B13-9394,2013,2013/09/12 07:00:00+00,240,City of San Diego,NULL
B13-8421,2013,2013/08/22 07:00:00+00,6,City of San Diego,NULL
B13-8236,2013,2013/08/06 07:00:00+00,6,City of San Diego,NULL
B13-9316,2013,2013/08/14 07:00:00+00,62,City of San Diego,NULL
B13-8340,2013,2013/07/12 07:00:00+00,18,City of San Diego,NULL
B13-8122,2013,2013/08/28 07:00:00+00,5,City of San Diego,NULL
B13-9363,2013,2013/08/21 07:00:00+00,88,City of San Diego,NULL
B13-9359,2013,2013/09/06 07:00:00+00,186,City of San Diego,NULL
B13-9192,2013,2013/07/31 07:00:00+00,23,City of San Diego,NULL
B13-8124,2013,2013/09/09 07:00:00+00,4,City of San Diego,NULL
B13-8500,2013,2013/09/09 07:00:00+00,6,City of San Diego,NULL
B13-9005,2013,2013/07/03 07:00:00+00,19,City of San Diego,NULL
B13-9002,2013,2013/07/08 07:00:00+00,320,City of San Diego,NULL
B13-9185,2013,2013/07/16 07:00:00+00,142,City of San Diego,NULL
B13-8160,2013,2013/08/08 07:00:00+00,3,City of San Diego,NULL
B13-8029,2013,2013/08/11 07:00:00+00,10,City of San Diego,NULL
B13-8065,2013,2013/08/12 07:00:00+00,7,City of San Diego,NULL
B13-9211,2013,2013/08/29 07:00:00+00,710,City of San Diego,NULL
B13-8102,2013,2013/09/10 07:00:00+00,7,City of San Diego,NULL
B13-8274,2013,2013/08/01 07:00:00+00,3,City of San Diego,NULL
B13-8371,2013,2013/07/10 07:00:00+00,17,City of San Diego,NULL
B13-8413,2013,2013/09/12 07:00:00+00,4,City of San Diego,NULL
B13-8078,2013,2013/08/27 07:00:00+00,13,City of San Diego,NULL
B13-8290,2013,2013/09/04 07:00:00+00,18,City of San Diego,NULL
B13-8375,2013,2013/07/03 07:00:00+00,9,City of San Diego,NULL
B13-8050,2013,2013/08/12 07:00:00+00,12,City of San Diego,NULL
B13-8052,2013,2013/08/27 07:00:00+00,5,City of San Diego,NULL
B13-8058,2013,2013/08/30 07:00:00+00,5,City of San Diego,NULL
B13-8326,2013,2013/07/10 07:00:00+00,11,City of San Diego,NULL
B13-8319,2013,2013/07/11 07:00:00+00,12,City of San Diego,NULL
B13-9434,2013,2013/09/23 07:00:00+00,18,City of San Diego,NULL
B13-8280,2013,2013/08/01 07:00:00+00,6,City of San Diego,NULL
B13-9281,2013,2013/08/13 07:00:00+00,448,City of San Diego,NULL
B13-9214,2013,2013/07/15 07:00:00+00,26,City of San Diego,NULL
B13-9237,2013,2013/07/11 07:00:00+00,295,City of San Diego,NULL
B13-9225,2013,2013/08/28 07:00:00+00,820,City of San Diego,NULL
B13-9122,2013,2013/07/30 07:00:00+00,256,City of San Diego,NULL
B13-8389,2013,2013/08/09 07:00:00+00,19,City of San Diego,NULL
B13-9121,2013,2013/07/25 07:00:00+00,14,City of San Diego,NULL
B13-9035,2013,2013/07/29 07:00:00+00,465,City of San Diego,NULL
B13-8111,2013,2013/09/09 07:00:00+00,12,City of San Diego,NULL
B13-8292,2013,2013/09/04 07:00:00+00,19,City of San Diego,NULL
B13-9421,2013,2013/08/20 07:00:00+00,25,City of San Diego,NULL
B13-9199,2013,2013/07/15 07:00:00+00,38,City of San Diego,NULL
B13-9194,2013,2013/07/17 07:00:00+00,34,City of San Diego,NULL
B13-9197,2013,2013/07/16 07:00:00+00,63,City of San Diego,NULL
B13-8328,2013,2013/09/06 07:00:00+00,18,City of San Diego,NULL
B13-8275,2013,2013/09/20 07:00:00+00,6,City of San Diego,NULL
B13-8157,2013,2013/08/08 07:00:00+00,3,City of San Diego,NULL
B13-8383,2013,2013/08/09 07:00:00+00,20,City of San Diego,NULL
B13-9036,2013,2013/07/16 07:00:00+00,457,City of San Diego,NULL
B13-8117,2013,2013/09/10 07:00:00+00,6,City of San Diego,NULL
B13-8355,2013,2013/07/09 07:00:00+00,10,City of San Diego,NULL
B13-8397,2013,2013/07/12 07:00:00+00,4,City of San Diego,NULL
B13-8304,2013,2013/07/11 07:00:00+00,24,City of San Diego,NULL
B13-9484,2013,2013/09/23 07:00:00+00,18,City of San Diego,NULL
B13-8301,2013,2013/09/12 07:00:00+00,5,City of San Diego,NULL
B13-9204,2013,2013/07/15 07:00:00+00,13,City of San Diego,NULL
B13-8109,2013,2013/08/28 07:00:00+00,12,City of San Diego,NULL
B13-8239,2013,2013/08/06 07:00:00+00,7,City of San Diego,NULL
B13-8391,2013,2013/09/09 07:00:00+00,20,City of San Diego,NULL
B13-8145,2013,2013/08/07 07:00:00+00,8,City of San Diego,NULL
B13-8250,2013,2013/08/07 07:00:00+00,1,City of San Diego,NULL
B13-8430,2013,2013/09/24 07:00:00+00,2,City of San Diego,NULL
B13-9047,2013,2013/07/29 07:00:00+00,668,City of San Diego,NULL
B13-9151,2013,2013/07/15 07:00:00+00,582,City of San Diego,NULL
B13-9099,2013,2013/07/23 07:00:00+00,634,City of San Diego,NULL
B13-9056,2013,2013/07/16 07:00:00+00,146,City of San Diego,NULL
B13-9432,2013,2013/09/11 07:00:00+00,202,City of San Diego,NULL
B13-9049,2013,2013/07/16 07:00:00+00,83,City of San Diego,NULL
B13-8146,2013,2013/08/07 07:00:00+00,8,City of San Diego,NULL
B13-9025,2013,2013/07/10 07:00:00+00,77,City of San Diego,NULL
B13-9409,2013,2013/08/20 07:00:00+00,17,City of San Diego,NULL
B13-9178,2013,2013/07/16 07:00:00+00,359,City of San Diego,NULL
B13-8056,2013,2013/08/12 07:00:00+00,10,City of San Diego,NULL
B13-9021,2013,2013/07/11 07:00:00+00,346,City of San Diego,NULL
B13-8156,2013,2013/08/07 07:00:00+00,3,City of San Diego,NULL
B13-8098,2013,2013/08/29 07:00:00+00,14,City of San Diego,NULL
B13-8136,2013,2013/07/31 07:00:00+00,1,City of San Diego,NULL
B13-9316,2013,2013/08/14 07:00:00+00,62,City of Los Angeles Environmental Monitoring Division,NULL
B13-8179,2013,2013/08/02 07:00:00+00,1,City of San Diego,NULL
B13-8013,2013,2013/08/26 07:00:00+00,3,City of San Diego,NULL
B13-9357,2013,2013/08/21 07:00:00+00,82,City of San Diego,NULL
B13-8068,2013,2013/08/30 07:00:00+00,5,City of San Diego,NULL
B13-9387,2013,2013/09/10 07:00:00+00,430,City of San Diego,NULL
B13-8075,2013,2013/08/13 07:00:00+00,10,City of San Diego,NULL
B13-8076,2013,2013/08/13 07:00:00+00,10,City of San Diego,NULL
B13-9360,2013,2013/08/21 07:00:00+00,88,City of San Diego,NULL
B13-8188,2013,2013/07/29 07:00:00+00,1,City of San Diego,NULL
B13-8350,2013,2013/07/09 07:00:00+00,12,City of San Diego,NULL
B13-8040,2013,2013/08/26 07:00:00+00,4,City of San Diego,NULL
B13-8085,2013,2013/09/10 07:00:00+00,15,City of San Diego,NULL
B13-8087,2013,2013/08/29 07:00:00+00,13,City of San Diego,NULL
B13-8058,2013,2013/08/30 07:00:00+00,5,PHYSIS Labs Inc,8744-R1
B13-8096,2013,2013/08/29 07:00:00+00,14,City of San Diego,NULL
B13-8105,2013,2013/09/10 07:00:00+00,4,City of San Diego,NULL
B13-8187,2013,2013/08/02 07:00:00+00,1,City of San Diego,NULL
B13-8100,2013,2013/08/29 07:00:00+00,9,City of San Diego,NULL
B13-8112,2013,2013/09/09 07:00:00+00,13,City of San Diego,NULL
B13-8118,2013,2013/08/28 07:00:00+00,11,City of San Diego,NULL
B13-8029,2013,2013/08/11 07:00:00+00,10,PHYSIS Labs Inc,8459-R1
B13-9470,2013,2013/08/07 07:00:00+00,29,City of San Diego,NULL
B13-9464,2013,2013/09/09 07:00:00+00,184,City of San Diego,NULL
B13-8113,2013,2013/09/10 07:00:00+00,5,City of San Diego,NULL
B13-8134,2013,2013/07/31 07:00:00+00,1,City of San Diego,NULL
B13-8152,2013,2013/08/07 07:00:00+00,7,City of San Diego,NULL
B13-9345,2013,2013/08/21 07:00:00+00,84,City of San Diego,NULL
B13-8116,2013,2013/09/10 07:00:00+00,4,PHYSIS Labs Inc,8767-R1
B13-8128,2013,2013/09/09 07:00:00+00,5,PHYSIS Labs Inc,8760-R1
B13-8145,2013,2013/08/07 07:00:00+00,8,PHYSIS Labs Inc,8446-R1
B13-9026,2013,2013/07/15 07:00:00+00,372,City of San Diego,NULL
B13-9105,2013,2013/07/23 07:00:00+00,73,City of San Diego,NULL
B13-9173,2013,2013/07/17 07:00:00+00,60,City of San Diego,NULL
B13-9245,2013,2013/07/11 07:00:00+00,5,City of San Diego,NULL
B13-9338,2013,2013/07/30 07:00:00+00,595,City of San Diego,NULL
B13-9341,2013,2013/07/23 07:00:00+00,23,City of San Diego,NULL
B13-9373,2013,2013/08/20 07:00:00+00,101,City of San Diego,NULL
B13-9376,2013,2013/08/20 07:00:00+00,110,City of San Diego,NULL
B13-9383,2013,2013/08/21 07:00:00+00,15,City of San Diego,NULL
B13-9443,2013,2013/09/09 07:00:00+00,387,City of San Diego,NULL
B13-8123,2013,2013/09/09 07:00:00+00,6,PHYSIS,NULL
B13-8321,2013,2013/09/06 07:00:00+00,16,City of San Diego,NULL
B13-8340,2013,2013/07/12 07:00:00+00,18,PHYSIS,NULL
B13-8353,2013,2013/08/19 07:00:00+00,2,City of San Diego,NULL
B13-8363,2013,2013/07/10 07:00:00+00,15,PHYSIS,NULL
B13-9454,2013,2013/08/06 07:00:00+00,104,City of San Diego,NULL
B13-8394,2013,2013/08/09 07:00:00+00,8,City of San Diego,NULL
B13-9426,2013,2013/09/11 07:00:00+00,298,City of San Diego,NULL
B13-9397,2013,2013/08/20 07:00:00+00,26,City of San Diego,NULL
B13-9398,2013,2013/09/11 07:00:00+00,258,City of San Diego,NULL
B13-9379,2013,2013/09/11 07:00:00+00,259,City of San Diego,NULL
B13-9371,2013,2013/09/13 07:00:00+00,341,City of San Diego,NULL
B13-9350,2013,2013/07/29 07:00:00+00,205,City of San Diego,NULL
B13-9068,2013,2013/07/17 07:00:00+00,244,City of San Diego,NULL
B13-9129,2013,2013/07/30 07:00:00+00,62,Orange County Sanitation Districts,NULL
B13-9315,2013,2013/08/20 07:00:00+00,71,City of San Diego,NULL
B13-9170,2013,2013/07/15 07:00:00+00,484,Orange County Sanitation Districts,NULL
B13-9311,2013,2013/08/13 07:00:00+00,462,City of San Diego,NULL
B13-9192,2013,2013/07/31 07:00:00+00,23,Orange County Sanitation Districts,NULL
B13-9202,2013,2013/07/10 07:00:00+00,43,City of San Diego,P678619
B13-9274,2013,2013/08/20 07:00:00+00,72,City of San Diego,NULL
B13-9246,2013,2013/08/27 07:00:00+00,730,City of San Diego,NULL
B13-9201,2013,2013/07/31 07:00:00+00,750,City of San Diego,NULL
B13-9211,2013,2013/08/29 07:00:00+00,710,City of San Diego,P678624
B13-9228,2013,2013/07/08 07:00:00+00,257,City of San Diego,NULL
B13-9205,2013,2013/08/28 07:00:00+00,200,City of San Diego,NULL
B13-9055,2013,2013/07/16 07:00:00+00,275,City of San Diego,P670752
B13-9174,2013,2013/07/17 07:00:00+00,345,City of San Diego,NULL
B13-9159,2013,2013/07/31 07:00:00+00,23,City of San Diego,NULL
B13-9149,2013,2013/07/16 07:00:00+00,558,City of San Diego,NULL
B13-9133,2013,2013/09/09 07:00:00+00,787,City of San Diego,NULL
B13-9131,2013,2013/07/30 07:00:00+00,78,City of San Diego,NULL
B13-9109,2013,2013/07/25 07:00:00+00,788,City of San Diego,NULL
B13-9111,2013,2013/07/25 07:00:00+00,85,City of San Diego,NULL
B13-8351,2013,2013/07/09 07:00:00+00,11,City of San Diego,NULL
B13-9080,2013,2013/07/25 07:00:00+00,11,City of San Diego,NULL
B13-8407,2013,2013/09/12 07:00:00+00,5,City of San Diego,NULL
B13-9403,2013,2013/09/12 07:00:00+00,154,City of San Diego,P678626
B13-8360,2013,2013/07/10 07:00:00+00,20,City of San Diego,NULL
B13-8347,2013,2013/07/12 07:00:00+00,27,City of San Diego,NULL
B13-8302,2013,2013/07/11 07:00:00+00,25,City of San Diego,NULL
B13-8295,2013,2013/09/12 07:00:00+00,9,City of San Diego,NULL
B13-8291,2013,2013/09/04 07:00:00+00,20,City of San Diego,NULL
B13-8180,2013,2013/08/02 07:00:00+00,1,City of San Diego,NULL
B13-8151,2013,2013/08/07 07:00:00+00,4,City of San Diego,NULL
B13-8159,2013,2013/08/08 07:00:00+00,4,City of San Diego,NULL
B13-8060,2013,2013/08/27 07:00:00+00,4,City of San Diego,NULL
B13-8036,2013,2013/08/26 07:00:00+00,12,City of San Diego,NULL
B13-8002,2013,2013/08/05 07:00:00+00,1,City of San Diego,NULL
B13-8346,2013,2013/07/11 07:00:00+00,10,City of San Diego,NULL
B13-9001,2013,2013/07/08 07:00:00+00,280,City of San Diego,NULL
B13-8384,2013,2013/07/12 07:00:00+00,18,City of San Diego,NULL
B13-8396,2013,2013/07/12 07:00:00+00,15,City of San Diego,NULL
B13-9295,2013,2013/09/10 07:00:00+00,690,City of Los Angeles Environmental Monitoring Division,NULL
B13-9307,2013,2013/07/29 07:00:00+00,755,City of Los Angeles Environmental Monitoring Division,NULL
B13-8287,2013,2013/07/26 07:00:00+00,3,City of San Diego,NULL
B13-8273,2013,2013/08/01 07:00:00+00,6,City of San Diego,NULL
B13-8248,2013,2013/08/07 07:00:00+00,1,City of San Diego,NULL
B13-8222,2013,2013/07/30 07:00:00+00,3,City of San Diego,NULL
B13-9359,2013,2013/09/06 07:00:00+00,186,City of Los Angeles Environmental Monitoring Division,NULL
B13-8049,2013,2013/08/12 07:00:00+00,12,City of San Diego,NULL
B13-8045,2013,2013/08/30 07:00:00+00,12,City of San Diego,NULL
B13-9166,2013,2013/07/31 07:00:00+00,41,City of San Diego,NULL
B13-9378,2013,2013/08/20 07:00:00+00,100,City of San Diego,NULL
B13-9440,2013,2013/09/12 07:00:00+00,139,City of San Diego,NULL
B13-8290,2013,2013/09/04 07:00:00+00,18,PHYSIS Labs Inc,9139-R1
B13-8318,2013,2013/07/13 07:00:00+00,18,City of San Diego,NULL
B13-8372,2013,2013/08/09 07:00:00+00,12,City of San Diego,P673232
B13-8388,2013,2013/07/03 07:00:00+00,5,City of San Diego,P672186
B13-8222,2013,2013/07/30 07:00:00+00,3,Institute for integrated Research,NULL
B13-8248,2013,2013/08/07 07:00:00+00,1,Institute for integrated Research,NULL
B13-9487,2013,2013/09/23 07:00:00+00,18,City of San Diego,NULL
B13-9482,2013,2013/09/23 07:00:00+00,20,City of San Diego,NULL
B13-9428,2013,2013/09/11 07:00:00+00,195,City of San Diego,NULL
B13-8384,2013,2013/07/12 07:00:00+00,18,PHYSIS,NULL
B13-8396,2013,2013/07/12 07:00:00+00,15,PHYSIS,NULL
B13-8407,2013,2013/10/07 07:00:00+00,5,City of Los Angeles Environmental Monitoring Division,NULL
B13-9356,2013,2013/09/06 07:00:00+00,125,City of San Diego,NULL
B13-9343,2013,2013/08/21 07:00:00+00,82,City of San Diego,NULL
B13-9130,2013,2013/07/30 07:00:00+00,62,Orange County Sanitation Districts,NULL
B13-9131,2013,2013/07/30 07:00:00+00,78,Orange County Sanitation Districts,NULL
B13-9336,2013,2013/07/23 07:00:00+00,23,City of San Diego,NULL
B13-9174,2013,2013/07/17 07:00:00+00,345,Orange County Sanitation Districts,NULL
B13-9190,2013,2013/07/31 07:00:00+00,690,City of San Diego,NULL
B13-9214,2013,2013/07/15 07:00:00+00,26,Orange County Sanitation Districts,NULL
B13-9219,2013,2013/07/15 07:00:00+00,18,Orange County Sanitation Districts,NULL
B13-9239,2013,2013/07/09 07:00:00+00,16,Orange County Sanitation Districts,NULL
B13-9236,2013,2013/08/27 07:00:00+00,810,City of San Diego,NULL
B13-9171,2013,2013/07/17 07:00:00+00,16,City of San Diego,NULL
B13-9160,2013,2013/07/16 07:00:00+00,493,City of San Diego,NULL
B13-9135,2013,2013/07/30 07:00:00+00,11,City of San Diego,NULL
B13-9129,2013,2013/07/30 07:00:00+00,62,City of San Diego,NULL
B13-9071,2013,2013/07/24 07:00:00+00,805,City of San Diego,NULL
